Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Asterionellopsis glacialis,BACILLARIOPHYTA,4/1/1992,30,1,8.4,47502.0,5655.0
Ceratoneis closterium,BACILLARIOPHYTA,4/1/1992,30,1,16.3,950.6,58.3
Chaetoceros debilis,BACILLARIOPHYTA,4/1/1992,30,1,292.5,307827.0,1052.4
Coscinodiscus radiatus,BACILLARIOPHYTA,4/1/1992,30,1,1.0,476403.6,476403.6
Cyclotella sp.,BACILLARIOPHYTA,4/1/1992,30,1,134.0,21122.2,157.6
Gyrosigma acuminatum,BACILLARIOPHYTA,4/1/1992,30,1,0.2,6160.0,30800.0
Melosira nummuloides,BACILLARIOPHYTA,4/1/1992,30,1,3.2,36779.8,11493.7
Nitzschia spp.,BACILLARIOPHYTA,4/1/1992,30,1,32.3,3625.9,112.3
Paralia sulcata,BACILLARIOPHYTA,4/1/1992,30,1,33.6,37225.5,1107.9
Pleurosigma normanii,BACILLARIOPHYTA,4/1/1992,30,1,0.6,31356.0,52260.0
Pseudo-nitzschia seriata,BACILLARIOPHYTA,4/1/1992,30,1,21.1,42622.4,2020.0
Rhizosolenia setigera,BACILLARIOPHYTA,4/1/1992,30,1,0.8,63175.2,78968.9
Skeletonema costatum,BACILLARIOPHYTA,4/1/1992,30,1,122.4,55809.2,456.1
Thalassiosira angulata,BACILLARIOPHYTA,4/1/1992,30,1,1.8,9694.4,5385.8
Trieres mobiliensis,BACILLARIOPHYTA,4/1/1992,30,1,1.0,405966.9,405966.9
Chlamydomonas spp.,CHLOROPHYTA,4/1/1992,30,1,32.5,459.4,14.1
Chlamydomonas spp.,CHLOROPHYTA,4/1/1992,30,1,103.2,3457.2,33.5
Chlorella salina,CHLOROPHYTA,4/1/1992,30,1,12025.3,68544.0,5.7
Nannochloris spp.,CHLOROPHYTA,4/1/1992,30,1,3256.2,13675.9,4.2
Pseudoscourfieldia marina,CHLOROPHYTA,4/1/1992,30,1,234.2,5719.6,24.4
Pyramimonas micron,CHLOROPHYTA,4/1/1992,30,1,1056.1,4435.4,4.2
Pyramimonas spp.,CHLOROPHYTA,4/1/1992,30,1,261.9,18205.9,69.5
Pyramimonas spp.,CHLOROPHYTA,4/1/1992,30,1,13.0,17339.4,1333.8
Pyramimonas spp.,CHLOROPHYTA,4/1/1992,30,1,30.1,127766.6,4251.8
Kephyrion sp.,CHRYSOPHYCEAE,4/1/1992,30,1,488.4,4014.5,8.2
Mesodinium rubrum,CILIOPHORA,4/1/1992,30,1,5.6,21184.8,3783.0
Cryptomonas sp.,CRYPTOPHYTA,4/1/1992,30,1,692.9,291066.2,420.1
Plagioselmis prolonga,CRYPTOPHYTA,4/1/1992,30,1,2359.4,66622.5,28.2
Teleaulax amphioxeia,CRYPTOPHYTA,4/1/1992,30,1,1558.9,227066.3,145.7
Synechococcus sp.,CYANOPHYCEAE,4/1/1992,30,1,16.3,373.3,22.9
Alexandrium tamarense,DINOPHYCEAE,4/1/1992,30,1,1.0,4825.3,4825.3
Gyrodinium spirale,DINOPHYCEAE,4/1/1992,30,1,16.3,622860.7,38212.3
Heterocapsa rotundata,DINOPHYCEAE,4/1/1992,30,1,84.1,18787.7,223.4
Heterocapsa triquetra,DINOPHYCEAE,4/1/1992,30,1,77.8,182154.2,2342.8
Eutreptia lanowii,EUGLENOPHYTA,4/1/1992,30,1,28.9,42043.2,1457.3
Chrysochromulina kappa,HAPTOPHYTA,4/1/1992,30,1,65.0,2178.1,33.5
Achnanthidium sp.,BACILLARIOPHYTA,4/7/1992,13,1,68.8,5572.8,81.0
Biddulphia biddulphiana,BACILLARIOPHYTA,4/7/1992,13,1,0.2,27897.1,139485.5
Ceratoneis closterium,BACILLARIOPHYTA,4/7/1992,13,1,0.2,11.7,58.5
Chaetoceros debilis,BACILLARIOPHYTA,4/7/1992,13,1,1.2,1772.4,1477.0
Chaetoceros socialis,BACILLARIOPHYTA,4/7/1992,13,1,2.0,395.8,197.9
Coscinodiscus radiatus,BACILLARIOPHYTA,4/7/1992,13,1,4.0,1100508.1,272403.0
Cyclotella sp.,BACILLARIOPHYTA,4/7/1992,13,1,51.6,9912.4,192.1
Ditylum brightwellii,BACILLARIOPHYTA,4/7/1992,13,1,0.4,31498.9,78747.1
Eucampia zodiacus,BACILLARIOPHYTA,4/7/1992,13,1,2.6,19110.0,7350.0
Fragilaria sp.,BACILLARIOPHYTA,4/7/1992,13,1,2.4,768.0,320.0
Guinardia delicatula,BACILLARIOPHYTA,4/7/1992,13,1,0.8,3420.1,4275.1
Gyrosigma fasciola,BACILLARIOPHYTA,4/7/1992,13,1,0.2,2680.0,13400.0
Gyrosigma obscurum,BACILLARIOPHYTA,4/7/1992,13,1,0.2,3714.5,18572.5
Helicotheca tamesis,BACILLARIOPHYTA,4/7/1992,13,1,0.4,5952.5,14881.3
Lithodesmium undulatum,BACILLARIOPHYTA,4/7/1992,13,1,1.6,274383.6,171489.8
Melosira moniliformis,BACILLARIOPHYTA,4/7/1992,13,1,34.4,37267.1,1083.4
Nitzschia spp.,BACILLARIOPHYTA,4/7/1992,13,1,43.1,3211.3,74.6
Nitzschia spp.,BACILLARIOPHYTA,4/7/1992,13,1,0.2,3950.3,19751.5
Paralia sulcata,BACILLARIOPHYTA,4/7/1992,13,1,28.4,88987.6,3133.4
Pleurosigma aestuarii,BACILLARIOPHYTA,4/7/1992,13,1,1.8,3199.5,1828.3
Pleurosigma normanii,BACILLARIOPHYTA,4/7/1992,13,1,0.4,19006.5,47516.1
Pleurosigma sp. 1,BACILLARIOPHYTA,4/7/1992,13,1,11.7,52242.6,4477.9
Rhizosolenia setigera,BACILLARIOPHYTA,4/7/1992,13,1,2.5,45232.7,18239.0
Skeletonema costatum,BACILLARIOPHYTA,4/7/1992,13,1,7.1,2418.2,339.0
Stephanodiscus sp.,BACILLARIOPHYTA,4/7/1992,13,1,206.4,12590.4,61.0
Thalassionema nitzschioides,BACILLARIOPHYTA,4/7/1992,13,1,1.0,2730.0,2730.0
Thalassiosira angulata,BACILLARIOPHYTA,4/7/1992,13,1,7.5,133309.3,17727.3
Thalassiosira hendeyi,BACILLARIOPHYTA,4/7/1992,13,1,34.4,70480.6,2048.9
Thalassiosira nordenskioeldii,BACILLARIOPHYTA,4/7/1992,13,1,1.8,7107.4,3948.6
Thalassiosira rotula,BACILLARIOPHYTA,4/7/1992,13,1,137.6,4129183.4,30008.6
Chlorella salina,CHLOROPHYTA,4/7/1992,13,1,8194.1,250363.6,30.6
Nannochloris spp.,CHLOROPHYTA,4/7/1992,13,1,1554.9,16316.8,10.5
Pyramimonas micron,CHLOROPHYTA,4/7/1992,13,1,206.4,7795.3,37.8
Pyramimonas spp.,CHLOROPHYTA,4/7/1992,13,1,120.4,6449.0,53.6
Kephyrion sp.,CHRYSOPHYCEAE,4/7/1992,13,1,189.2,1551.5,8.2
Ochromonas sp.,CHRYSOPHYCEAE,4/7/1992,13,1,103.2,433.4,4.2
Mesodinium rubrum,CILIOPHORA,4/7/1992,13,1,0.2,756.6,3783.0
Plagioselmis prolonga,CRYPTOPHYTA,4/7/1992,13,1,963.2,25993.3,27.0
Teleaulax amphioxeia,CRYPTOPHYTA,4/7/1992,13,1,516.0,89835.6,174.1
Myxobaktron sp.,CYANOPHYCEAE,4/7/1992,13,1,34.4,750.0,21.8
Phormidium sp.,CYANOPHYCEAE,4/7/1992,13,1,206.4,557.3,2.7
Prorocentrum cordatum,DINOPHYCEAE,4/7/1992,13,1,34.4,5418.0,157.5
Eutreptia lanowii,EUGLENOPHYTA,4/7/1992,13,1,66.3,12129.2,183.0
Asterionellopsis glacialis,BACILLARIOPHYTA,4/7/1992,18,1,0.8,4524.0,5655.0
