Date;Station ID;Depth ;Salinity;NH4;NO32;Dissolved_Inorganic_(NH4_NO32);Dissolved_Organic_(TDN-DIN);SUM_Total_Dissolved;Particulate_(TN_TDN);Total_N_measured;Particulate_Nitrogen_measured;Total_N_(PN_TDN);Dissolved_Inorganic_P_(DRP);Dissolved_Organic_(TDP_DRP);Total_Dissolved_P_(TDP);Particulate_P_(TP_TDP);Total_P_(TP);;;
2014-11-18;657;2;0;29,3;38,2;67,5;0,5;68,0;0,9;68,9;;;3,3;0,0;3,2;1,1;4,3;;;
2014-11-18;6;2;13;6,1;34,2;40,3;14,7;55,0;-2,1;52,9;;;3,7;-0,3;3,5;0,6;4,1;;;
2014-11-18;13;2;28;3,4;18,6;22,1;11,6;33,6;1,4;35,0;;;3,2;-0,3;2,9;0,8;3,7;;;
2014-11-18;18;2;32;3,2;13,3;16,5;12,4;28,9;-3,1;25,8;;;2,6;0,0;2,6;0,3;2,9;;;
2014-11-18;22;2;31;3,7;14,1;17,8;13,1;30,8;-1,6;29,2;;;3,0;-0,1;2,9;0,3;3,2;;;
2014-11-18;27;2;32;0,3;24,4;24,7;24,3;49,0;0,4;49,3;;;6,8;-0,1;6,7;0,6;7,3;;;
2014-11-18;32;2;32;0,6;28,3;28,9;42,5;71,4;-1,7;69,7;;;10,6;-0,2;10,4;1,5;11,9;;;
2014-11-18;36;2;30;4,4;59,4;63,8;72,5;136,4;2,1;138,5;;;17,1;0,3;17,4;1,7;19,1;;;
2014-12-10;657;2;0;13,1;35,0;48,1;25,4;73,5;;;;;2,5;0,4;2,9;1,7;4,6;;;
2014-12-10;6;2;10;9,4;39,8;49,2;9,7;58,9;1,9;60,8;;;2,7;0,8;3,5;0,6;4,0;;;
2014-12-10;13;2;24;5,8;28,3;34,1;8,4;42,4;1,0;43,4;;;3,2;0,0;3,2;0,5;3,7;;;
2014-12-10;18;2;30;5,6;17,5;23,1;6,9;30,0;-1,6;28,3;;;2,7;0,1;2,9;0,2;3,0;;;
2014-12-10;22;2;30;5,2;18,6;23,8;6,8;30,6;0,1;30,7;;;2,9;0,0;2,9;0,3;3,2;;;
2014-12-10;27;2;31;4,9;35,2;40,1;10,0;50,0;0,1;50,2;;;6,2;0,2;6,3;2,4;8,7;;;
2014-12-10;32;2;30;4,1;50,6;54,8;11,7;66,5;-2,6;63,8;;;7,6;0,1;7,7;1,1;8,8;;;
2014-12-10;36;2;29;5,6;64,3;70,0;15,7;85,7;2,1;87,8;;;9,1;1,0;10,1;0,5;10,5;;;
2015-01-14;18;2;26;5,1;20,2;25,3;7,4;32,8;1,0;33,8;;;2,2;0,1;2,2;0,2;2,5;;;
2015-01-14;22;2;26;7,4;17,6;25,0;13,2;38,2;1,9;40,1;;;2,3;0,1;2,4;0,6;3,0;;;
2015-01-14;32;2;25;11,6;56,9;68,5;21,4;90,0;0,0;90,0;;;6,6;0,7;7,3;0,3;7,6;;;
2015-01-14;36;2;25;11,5;71,4;82,9;7,8;90,7;11,4;102,1;;;7,3;0,7;8,0;0,7;8,8;;;
2015-01-22;657;2;0;27,5;44,8;72,3;17,7;90,0;;;;;3,7;0,3;4,0;0,9;4,9;;;
2015-01-22;6;2;9;11,0;41,6;52,6;14,1;66,8;1,4;68,1;;;3,0;0,1;3,1;0,9;4,0;;;
2015-01-22;13;2;23;7,2;26,1;33,3;7,8;41,1;1,3;42,4;;;2,7;0,0;2,7;0,8;3,5;;;
2015-01-22;18;2;30;3,8;12,3;16,1;5,4;21,4;1,7;23,1;;;1,6;0,2;1,8;0,6;2,4;;;
2015-01-22;22;2;29;5,4;14,8;20,1;6,2;26,3;-1,4;24,9;;;2,0;0,0;2,1;0,5;2,6;;;
2015-01-22;32;2;25;11,9;56,3;68,3;16,0;84,2;1,4;85,7;;;6,5;0,1;6,6;1,2;7,7;;;
2015-01-22;36;2;24;9,3;80,7;90,0;15,7;105,7;18,6;124,2;;;8,1;0,2;8,4;4,7;13,0;;;
2015-02-12;18;2;28;8,6;15,7;24,3;5,5;29,8;1,4;31,3;;;2,1;0,2;2,3;0,3;2,7;;;
2015-02-12;22;2;27;11,2;20,9;32,1;7,5;39,6;1,1;40,7;;;2,9;0,2;3,1;0,4;3,4;;;
2015-02-12;32;2;25;10,4;54,2;64,5;13,3;77,8;-0,7;77,1;;;6,0;0,1;6,1;0,8;6,8;;;
2015-02-12;36;2;24;10,4;61,3;71,6;13,4;85,0;8,6;93,5;;;6,9;0,3;7,2;0,5;7,7;;;
2015-02-18;657;2;0;10,4;29,6;40,0;25,1;65,0;-0,4;64,6;;;2,6;0,5;3,0;1,3;4,4;;;
2015-02-18;6;2;8;12,1;42,6;54,6;13,4;68,0;4,1;72,1;;;2,8;0,3;3,1;1,1;4,2;;;
2015-02-18;13;2;25;7,0;20,3;27,3;6,6;33,9;3,6;37,5;;;2,4;0,0;2,4;0,7;3,1;;;
2015-02-18;18;2;30;4,6;9,4;14,0;5,2;19,2;0,3;19,5;;;1,6;0,0;1,6;0,3;2,0;;;
2015-02-18;22;2;28;6,8;15,1;21,8;7,0;28,8;0,7;29,6;;;2,1;0,1;2,2;0,4;2,6;;;
2015-02-18;27;2;27;10,5;28,3;38,8;7,1;46,0;4,9;50,8;;;4,3;0,0;4,3;0,4;4,7;;;
2015-02-18;32;2;24;8,0;56,5;64,5;11,9;76,4;5,0;81,4;;;6,8;0,0;6,8;0,8;7,7;;;
2015-02-18;34;2;23;10,4;68,6;79,0;14,5;93,5;17,8;111,4;;;7,7;0,0;7,7;3,9;11,6;;;
2015-03-13;18;2;28;3,6;13,6;17,2;13,1;30,3;-4,5;25,8;;;1,9;0,1;2,0;0,3;2,3;;;
2015-03-13;22;2;28;6,2;17,5;23,7;10,9;34,6;-1,4;33,1;;;2,2;0,2;2,4;0,2;2,6;;;
2015-03-13;27;2;27;7,4;30,8;38,2;11,6;49,8;-0,7;49,0;;;4,8;-0,4;4,4;0,5;4,9;;;
2015-03-13;32;2;26;4,5;33,5;38,0;21,8;59,8;-6,1;53,8;;;5,7;0,0;5,6;0,2;5,8;;;
2015-03-13;36;2;25;3,6;48,7;52,3;27,6;80,0;-5,0;75,0;;;6,8;0,2;6,9;0,5;7,4;;;
